Pagu,LT,BT
1450,-7.18683217624845,112.088968858936
2130,-7.17226101976322,112.128214384834
2080,-7.18313840517795,112.098378842228
950,-7.16334850332665,112.135549470405
10580,-7.25073351326319,112.080823027533
1090,-7.17419220665915,112.053637641539
5000,-7.22164261273245,112.094285718341
2120,-7.21606188320885,112.107039089695
4530,-7.13739459549928,112.115900970405
2290,-7.17336922639575,112.082640956677
1050,-7.14120534019306,112.105933843112
1180,-7.17791064946228,112.059238285485
2510,-7.15638632928672,112.090314772171
1980,-7.17266187169836,112.078411081058
2180,-7.16890735250287,112.099709244306
3350,-7.13560207863656,112.075233662457
2480,-7.1587849022071,112.051215626077
2350,-7.12587637990451,112.100325858941
1210,-7.13734573636143,112.097087904699
1390,-7.11945353633053,112.12155421273
1560,-7.15239971865843,112.049549141337
1260,-7.12415955337857,112.157790028004
2790,-7.12666187083948,112.140495596614
4280,-7.09008127510688,112.096755355046
1790,-7.10781291570694,112.141264854572
3280,-7.12058339007399,112.081977172485
2150,-7.12110401442223,112.10240109694
2210,-7.10142461686115,112.116459707251
3540,-7.15547358582461,112.061842427273
1080,-7.12384897733506,112.101893933116
2540,-7.11885068251999,112.068741741016
3180,-7.07886670671996,112.07825381633
1310,-7.13328565712567,112.133930725934
1650,-7.1180403978966,112.056161109934
1530,-7.13706493255692,112.084782174632
1380,-7.13609760374464,112.154067844383
1840,-7.10328250569742,112.133682287675
1270,-7.13647440382422,112.145341241452
1970,-7.12742943279039,112.116033771991
1340,-7.12891222601234,112.128027125687
2460,-7.14284944196809,112.038176454881
1890,-7.12854562045598,112.04493207703
1470,-7.14385246916554,111.988504881008
1150,-7.12658292426305,112.022383729608
1900,-7.07716074396874,112.056014161208
2250,-7.12780436600571,111.997024469549
2360,-7.15477266860741,112.033885210611
3180,-7.07488239451147,112.072397194894
3060,-7.15532829177788,112.033788840232
1980,-7.15286344679967,112.016616841063
840,-7.1564937883872,112.003494034315
1680,-7.08037770162202,112.038184287564
640,-7.13473285069038,112.010094166043
2480,-7.03378086396296,112.034419200206
1860,-7.16093056054925,112.015546485285
1780,-7.15501452156291,111.987633411947
1550,-7.13656807092395,112.019670018139
1710,-7.07132379058368,112.019972946634
3100,-7.1427566327028,112.006633154562
2630,-7.12019478372741,112.043347881244
1530,-7.15751627501756,112.045901541657
1610,-7.1167226965496,112.027493472396
1900,-7.10617325649941,112.017548758289
1560,-7.15695631079543,112.001823728031
3210,-7.1065479431329,112.045680700561
2110,-7.20517679799082,111.635394971771
2490,-7.20180727137608,111.660535305028
7280,-7.22122003735003,111.688516456323
6060,-7.22492710658825,111.653692122705
2590,-7.21874234315539,111.706961359056
3080,-7.2353565,111.6978417
1440,-7.18766628314225,111.67430849571
1250,-7.19839972296439,111.68456679131
2700,-7.15437680158994,111.654748382952
1760,-7.19210574301951,111.68079771467
1160,-7.21224226632133,111.686977185477
2350,-7.2078443646813,111.699006588274
1660,-7.15781191661981,111.628809663301
1510,-7.17448595147245,111.605689861241
1210,-7.14989187791254,111.606064363942
1190,-7.17117459075261,111.653895458731
590,-7.18009751690419,111.642865625554
2190,-7.15545233187246,111.621218246537
2190,-7.1817669772512,111.60879376393
3310,-7.19313459032409,111.604768000632
1450,-7.16684924452345,111.625135525698
1220,-7.16013805901632,111.597255046137
1370,-7.15577976712529,111.615377802756
1220,-7.18659761984819,111.583527100788
1740,-7.18542834272651,111.601283369726
1930,-7.17646497805335,111.591120651238
1460,-7.17932301896647,111.624753625971
1690,-7.19500943288476,111.572186670874
2160,-7.13137181241561,111.754159708292
2640,-7.14545527462243,111.754488505274
2050,-7.12816597650874,111.764101102897
5700,-7.13208348492858,111.803755194049
920,-7.12982832709322,111.774265340189
3510,-7.12450374780671,111.784614692946
2110,-7.1166485801946,111.731360718368
1090,-7.1237107,111.8305287
2530,-7.13179705753719,111.801242961202
850,-7.12882408199653,111.824840303485
2480,-7.14509103772724,111.809090444996
1560,-7.12646284895137,111.767276996685
3380,-7.11582778640114,111.783602465384
3410,-7.13429723816166,111.805643943051
1490,-7.14868630663856,111.834584287214
1400,-7.13857957612905,111.725660970064
2170,-7.12515472214408,111.745404729531
4010,-7.14409173206134,111.76247088231
4560,-7.24395027170257,111.711110651416
6420,-7.18427125817476,111.766377574019
3980,-7.28211305184367,111.771472570863
2970,-7.2258854388321,111.761583696632
2720,-7.16295178278078,111.760230508497
4410,-7.17695029110871,111.750340011906
4410,-7.26893696672094,111.764436369844
1940,-7.25961394289457,111.719524037589
2920,-7.2535356434273,111.767301293654
2240,-7.22152951583536,111.761182630919
3250,-7.24744529535856,111.76627636815
1660,-7.23298076782721,111.76771372819
5890,-7.25646587211348,111.771088027118
5170,-7.29209366068776,111.733637633841
1260,-7.21622709805354,111.763829185196
4650,-7.28595806624132,111.766080908527
6360,-7.17207291585881,111.784658243523
2350,-7.1917145907983,111.959302063322
1560,-7.21534078149703,111.980360380547
2890,-7.20058311417725,111.971128001347
4120,-7.20026070466206,111.937935385515
4570,-7.18605138796283,111.944195546651
2560,-7.16274106912364,111.965743278377
1490,-7.20952770101773,111.957795127444
2010,-7.22470049563665,111.964708767165
2220,-7.17566241335356,111.963207429628
4590,-7.18720170631018,111.975695811903
3070,-7.23759009772124,111.956167934322
3490,-7.17767726638537,111.947806508406
1800,-7.14400578599465,111.949092584563
3390,-7.21184937279712,111.935118583652
2350,-7.22119366487148,111.985973026122
1680,-7.1687142244312,111.977281199954
1460,-7.23509870994443,111.977787988964
2420,-7.1685319442086,111.949435608771
3270,-7.13901298115403,111.967062904337
1020,-7.15320367535575,111.948576975228
3010,-7.22147216453667,111.944235257054
4100,-7.19081498081258,111.944469625608
2330,-7.19814630493472,111.955534600529
3450,-7.3199806154415,111.959262886865
3830,-7.28004641650949,111.954552724765
3860,-7.34094329637293,111.981070373605
2160,-7.30476184697807,111.971770514594
1200,-7.34896229697627,111.987624343401
2670,-7.26686636406755,111.958070727939
3960,-7.29071314852474,111.960022185536
2290,-7.2996795422114,111.922750427523
1300,-7.28083472335329,111.928867501459
1600,-7.2799748012665,111.982685550841
550,-7.29837351865454,111.985049827977
1370,-7.29579522932546,111.923083012791
2420,-7.3195406628736,111.974837615193
4090,-7.30887705250615,111.957237332227
4490,-7.13670254061698,112.1163623382
2290,-7.29900072549191,111.968248685352
2880,-7.30470209586904,111.988926170099
2500,-7.14385696707541,111.613809466338
2250,-7.01980392000487,111.619773389399
1690,-7.13094971202664,111.639686584021
3020,-7.146217,111.6252735
2080,-7.070555420521,111.629312471973
3770,-7.03230953589489,111.638326120123
4000,-7.0953042110415,111.617672127178
2500,-7.07140880843257,111.681176858491
